0: 9311, 7001, 803, 5361, 6764, 3905, 1642, 3260, 4669, 5762
1: 6764, 1642, 9311, 7001, 4888, 3260, 3905, 4669, 803, 5361
2: 9311, 7001, 803, 5361, 6764, 3905, 1642, 3260, 5762, 4669
3: 6764, 1642, 9311, 7001, 4888, 3260, 3905, 4669, 803, 5887
4: 803, 9311, 5361, 7001, 6764, 4669, 1642, 6595, 9874, 3905
5: 9311, 6764, 7001, 1642, 803, 4669, 3905, 3260, 4888, 5361
6: 6764, 1642, 9311, 7001, 4669, 4888, 3260, 3905, 803, 5361
7: 6764, 4669, 1642, 9311, 7001, 4888, 6595, 803, 9874, 5361
8: 9311, 803, 7001, 5361, 6764, 1642, 3905, 4669, 3260, 5762
9: 6764, 1642, 9311, 7001, 4669, 4888, 3260, 3905, 803, 5361
10: 9311, 803, 6764, 7001, 5361, 4669, 1642, 6595, 3905, 9874
11: 803, 6764, 4669, 9311, 5361, 7001, 6595, 1642, 9874, 7588
12: 9311, 803, 6764, 5361, 7001, 4669, 1642, 6595, 9874, 3905
13: 6764, 9311, 7001, 1642, 4669, 803, 4888, 3905, 3260, 5361
14: 6764, 9311, 1642, 7001, 4669, 4888, 803, 3260, 3905, 5361
15: 9311, 803, 6764, 7001, 5361, 4669, 1642, 6595, 9874, 3905
16: 803, 5361, 9311, 7001, 6764, 4669, 1642, 6595, 9874, 5762
17: 9311, 7001, 6764, 1642, 803, 3905, 3260, 4669, 5361, 4888
18: 9311, 803, 7001, 6764, 5361, 4669, 1642, 6595, 9874, 3905
19: 5361, 803, 9311, 6595, 4669, 9874, 7001, 1737, 2433, 6764
20: 803, 5361, 9311, 6595, 4669, 7001, 9874, 1737, 2433, 6764
21: 803, 5361, 9311, 6595, 4669, 7001, 9874, 1737, 2433, 6764
22: 6764, 9311, 4669, 7001, 803, 1642, 5361, 6595, 9874, 4888
23: 5361, 803, 6595, 9874, 4669, 2433, 9311, 8398, 1737, 7001
24: 5361, 803, 6595, 9311, 4669, 9874, 7001, 1737, 2433, 8398
25: 5361, 803, 6595, 4669, 9874, 9311, 7001, 6764, 8398, 2433
26: 4669, 6595, 9874, 7588, 6764, 8398, 5361, 803, 5230, 6301
27: 4669, 6595, 9874, 7588, 8398, 6764, 5361, 803, 5230, 6301
28: 4669, 6764, 6595, 9874, 1642, 9311, 803, 7001, 5361, 7588
29: 4669, 6595, 9874, 6764, 7588, 8398, 1642, 5230, 5361, 803
30: 4669, 6595, 9874, 6764, 7588, 8398, 5361, 803, 1642, 9311
